transaction_id,timestamp,customer_id,amount,currency,merchant_category,payment_method,country,device_type,is_international,is_fraud
23,2026-01-01 01:50:00,183,35.54,USD,electronics,pix,CO,mobile,1,0
24,2026-01-01 01:55:00,927,33.98,USD,electronics,digital_wallet,BR,mobile,0,0
25,2026-01-01 02:00:00,782,39.76,USD,entertainment,card,CL,desktop,1,0
26,2026-01-01 02:05:00,644,272.12,USD,entertainment,card,CL,mobile,1,0
27,2026-01-01 02:10:00,403,114.5,USD,electronics,pix,US,mobile,1,0
28,2026-01-01 02:15:00,823,72.61,USD,electronics,pix,BR,mobile,1,0
29,2026-01-01 02:20:00,546,12.65,USD,electronics,bank_transfer,MX,tablet,0,0
30,2026-01-01 02:25:00,444,19.83,USD,electronics,bank_transfer,US,mobile,1,0
31,2026-01-01 02:30:00,451,30.12,USD,groceries,card,PT,mobile,1,0
32,2026-01-01 02:35:00,228,15.25,USD,transport,bank_transfer,MX,tablet,1,0
33,2026-01-01 02:40:00,93,54.62,USD,entertainment,pix,BR,tablet,0,0
34,2026-01-01 02:45:00,555,47.32,USD,online_services,pix,US,mobile,1,0
35,2026-01-01 02:50:00,888,11.15,USD,utilities,card,MX,desktop,1,0
36,2026-01-01 02:55:00,64,109.6,USD,utilities,digital_wallet,BR,desktop,0,0
37,2026-01-01 03:00:00,859,36.68,USD,utilities,pix,BR,mobile,0,0
38,2026-01-01 03:05:00,828,5.88,USD,travel,card,US,desktop,1,0
39,2026-01-01 03:10:00,277,31.46,USD,entertainment,card,BR,mobile,0,0
40,2026-01-01 03:15:00,632,43.87,USD,utilities,pix,CO,desktop,1,0
41,2026-01-01 03:20:00,166,87.6,USD,restaurants,digital_wallet,BR,mobile,1,0
42,2026-01-01 03:25:00,759,23.63,USD,restaurants,pix,CO,mobile,1,0
43,2026-01-01 03:30:00,701,75.79,USD,transport,bank_transfer,BR,desktop,0,0
44,2026-01-01 03:35:00,355,39.93,USD,travel,card,CO,mobile,1,0
45,2026-01-01 03:40:00,68,8.89,USD,utilities,card,AR,desktop,1,0
46,2026-01-01 03:45:00,971,8.04,USD,electronics,pix,US,mobile,1,0
47,2026-01-01 03:50:00,446,101.75,USD,online_services,card,BR,mobile,0,0
48,2026-01-01 03:55:00,894,109.51,USD,transport,card,BR,desktop,0,0
49,2026-01-01 04:00:00,678,45.74,USD,electronics,pix,BR,desktop,1,0
50,2026-01-01 04:05:00,779,147.78,USD,online_services,card,BR,mobile,0,0
51,2026-01-01 04:10:00,760,95.26,USD,restaurants,card,PT,desktop,1,0
52,2026-01-01 04:15:00,195,65.6,USD,utilities,card,BR,mobile,0,0
53,2026-01-01 04:20:00,364,13.31,USD,restaurants,card,BR,mobile,1,0
54,2026-01-01 04:25:00,467,187.06,USD,online_services,card,MX,desktop,1,0
55,2026-01-01 04:30:00,498,56.62,USD,transport,card,BR,desktop,1,0
56,2026-01-01 04:35:00,44,22.51,USD,entertainment,digital_wallet,BR,mobile,0,0
57,2026-01-01 04:40:00,547,16.97,USD,entertainment,pix,CL,mobile,0,0
58,2026-01-01 04:45:00,155,42.81,USD,electronics,pix,BR,mobile,1,0
59,2026-01-01 04:50:00,744,6.23,USD,travel,card,MX,mobile,1,0
60,2026-01-01 04:55:00,684,66.66,USD,utilities,card,CL,desktop,1,0
61,2026-01-01 05:00:00,923,12.76,USD,online_services,bank_transfer,BR,mobile,1,0
62,2026-01-01 05:05:00,745,47.97,USD,groceries,pix,AR,mobile,1,0
63,2026-01-01 05:10:00,367,19.66,USD,electronics,bank_transfer,US,mobile,1,0
64,2026-01-01 05:15:00,968,25.42,USD,utilities,card,BR,mobile,0,0
65,2026-01-01 05:20:00,411,15.53,USD,travel,pix,CO,tablet,1,0
66,2026-01-01 05:25:00,326,28.18,USD,groceries,pix,BR,mobile,0,0
67,2026-01-01 05:30:00,906,219.07,USD,restaurants,card,AR,tablet,0,0
68,2026-01-01 05:35:00,371,132.3,USD,utilities,bank_transfer,CO,mobile,1,1
69,2026-01-01 05:40:00,77,47.2,USD,electronics,card,BR,mobile,1,0
70,2026-01-01 05:45:00,470,32.29,USD,entertainment,pix,AR,desktop,1,0
71,2026-01-01 05:50:00,796,77.03,USD,online_services,card,BR,mobile,0,0
72,2026-01-01 05:55:00,190,102.51,USD,groceries,pix,CO,mobile,1,0
73,2026-01-01 06:00:00,463,14.44,USD,electronics,bank_transfer,CL,mobile,1,1
74,2026-01-01 06:05:00,130,30.65,USD,restaurants,card,BR,mobile,0,0
75,2026-01-01 06:10:00,687,5.36,USD,utilities,digital_wallet,BR,desktop,0,0
76,2026-01-01 06:15:00,476,101.81,USD,electronics,card,US,mobile,1,0
77,2026-01-01 06:20:00,331,261.13,USD,online_services,bank_transfer,BR,mobile,1,0
78,2026-01-01 06:25:00,227,35.88,USD,transport,pix,BR,mobile,0,0
79,2026-01-01 06:30:00,565,3.96,USD,restaurants,digital_wallet,BR,mobile,1,0
80,2026-01-01 06:35:00,670,60.88,USD,utilities,pix,AR,mobile,1,0
81,2026-01-01 06:40:00,941,13.41,USD,travel,pix,BR,mobile,1,0
82,2026-01-01 06:45:00,438,17.06,USD,restaurants,card,MX,desktop,0,0
83,2026-01-01 06:50:00,161,61.97,USD,entertainment,bank_transfer,CL,mobile,1,0
84,2026-01-01 06:55:00,833,42.72,USD,electronics,bank_transfer,BR,mobile,1,0
85,2026-01-01 07:00:00,630,20.33,USD,groceries,pix,AR,mobile,0,0
86,2026-01-01 07:05:00,701,17.29,USD,transport,pix,BR,mobile,0,0
87,2026-01-01 07:10:00,98,37.56,USD,utilities,pix,BR,mobile,0,0
88,2026-01-01 07:15:00,313,21.99,USD,restaurants,card,CL,mobile,1,0
89,2026-01-01 07:20:00,768,10.92,USD,transport,card,BR,mobile,0,0
90,2026-01-01 07:25:00,833,23.75,USD,transport,pix,US,mobile,1,0
91,2026-01-01 07:30:00,436,46.51,USD,entertainment,pix,AR,desktop,1,0
92,2026-01-01 07:35:00,805,27.71,USD,utilities,pix,BR,mobile,0,0
93,2026-01-01 07:40:00,842,8.06,USD,utilities,pix,PT,mobile,1,0
94,2026-01-01 07:45:00,388,89.04,USD,entertainment,card,AR,mobile,0,0
95,2026-01-01 07:50:00,899,2.14,USD,groceries,card,BR,desktop,0,0
96,2026-01-01 07:55:00,289,21.19,USD,online_services,card,AR,mobile,1,0
97,2026-01-01 08:00:00,240,17.81,USD,restaurants,card,PT,mobile,1,0
98,2026-01-01 08:05:00,683,38.4,USD,electronics,pix,BR,mobile,0,0
99,2026-01-01 08:10:00,637,58.07,USD,utilities,bank_transfer,BR,mobile,0,0
100,2026-01-01 08:15:00,140,102.18,USD,restaurants,digital_wallet,AR,mobile,0,0
101,2026-01-01 08:20:00,833,16.24,USD,restaurants,card,BR,desktop,1,0
102,2026-01-01 08:25:00,200,59.54,USD,groceries,bank_transfer,BR,mobile,0,0
103,2026-01-01 08:30:00,805,40.28,USD,transport,pix,AR,desktop,1,0
104,2026-01-01 08:35:00,8,5.98,USD,electronics,card,US,desktop,1,0
105,2026-01-01 08:40:00,797,221.53,USD,electronics,pix,CO,desktop,1,0
106,2026-01-01 08:45:00,787,7.86,USD,groceries,digital_wallet,BR,mobile,0,0
107,2026-01-01 08:50:00,781,50.38,USD,restaurants,card,BR,mobile,0,0
108,2026-01-01 08:55:00,665,48.91,USD,groceries,pix,BR,desktop,1,0
109,2026-01-01 09:00:00,472,43.63,USD,restaurants,card,BR,mobile,0,0
110,2026-01-01 09:05:00,706,20.19,USD,travel,card,CL,desktop,1,0
111,2026-01-01 09:10:00,278,75.74,USD,groceries,card,BR,mobile,1,1
112,2026-01-01 09:15:00,781,6.96,USD,restaurants,card,MX,desktop,1,0
113,2026-01-01 09:20:00,556,31.01,USD,travel,pix,AR,mobile,0,0
114,2026-01-01 09:25:00,459,18.84,USD,travel,card,CL,mobile,1,0
115,2026-01-01 09:30:00,506,16.82,USD,online_services,pix,US,mobile,1,0
116,2026-01-01 09:35:00,569,50.84,USD,travel,bank_transfer,CL,mobile,0,0
117,2026-01-01 09:40:00,38,97.27,USD,online_services,bank_transfer,US,mobile,1,0
118,2026-01-01 09:45:00,140,23.49,USD,entertainment,card,MX,mobile,1,0
119,2026-01-01 09:50:00,246,72.29,USD,travel,card,AR,mobile,1,0
120,2026-01-01 09:55:00,115,34.8,USD,electronics,card,BR,desktop,0,0
121,2026-01-01 10:00:00,440,13.56,USD,groceries,card,BR,desktop,0,0
122,2026-01-01 10:05:00,669,25.59,USD,entertainment,card,US,desktop,1,0
123,2026-01-01 10:10:00,655,24.55,USD,online_services,pix,BR,desktop,0,0
124,2026-01-01 10:15:00,472,16.5,USD,transport,pix,US,mobile,1,0
125,2026-01-01 10:20:00,856,50.83,USD,transport,card,BR,desktop,0,0
126,2026-01-01 10:25:00,566,41.87,USD,groceries,card,CO,mobile,1,0
127,2026-01-01 10:30:00,80,6.75,USD,travel,bank_transfer,BR,mobile,0,0
128,2026-01-01 10:35:00,765,6.35,USD,transport,digital_wallet,PT,mobile,1,0
129,2026-01-01 10:40:00,575,50.64,USD,groceries,pix,BR,mobile,1,0
130,2026-01-01 10:45:00,635,14.65,USD,groceries,pix,BR,mobile,1,0
131,2026-01-01 10:50:00,566,44.79,USD,transport,pix,US,mobile,1,0
132,2026-01-01 10:55:00,554,72.31,USD,electronics,card,BR,tablet,1,0
133,2026-01-01 11:00:00,91,9.29,USD,electronics,bank_transfer,BR,mobile,0,0
134,2026-01-01 11:05:00,560,8.07,USD,entertainment,card,US,desktop,1,0
135,2026-01-01 11:10:00,795,176.7,USD,travel,pix,MX,desktop,0,0
136,2026-01-01 11:15:00,304,47.07,USD,utilities,card,BR,desktop,1,0
137,2026-01-01 11:20:00,603,21.77,USD,transport,pix,AR,desktop,1,0
138,2026-01-01 11:25:00,31,13.01,USD,restaurants,bank_transfer,BR,tablet,1,0
139,2026-01-01 11:30:00,348,19.88,USD,travel,pix,BR,mobile,1,0
140,2026-01-01 11:35:00,437,10.07,USD,groceries,card,CL,mobile,1,0
141,2026-01-01 11:40:00,983,80.11,USD,utilities,pix,BR,mobile,0,0
142,2026-01-01 11:45:00,215,15.23,USD,restaurants,pix,AR,mobile,1,0
143,2026-01-01 11:50:00,277,98.84,USD,online_services,pix,BR,mobile,0,0
144,2026-01-01 11:55:00,409,22.18,USD,online_services,pix,US,mobile,1,0
145,2026-01-01 12:00:00,993,11.67,USD,travel,pix,AR,tablet,1,0
146,2026-01-01 12:05:00,854,21.62,USD,transport,pix,BR,mobile,0,0
147,2026-01-01 12:10:00,35,2.4,USD,transport,card,US,desktop,1,0
148,2026-01-01 12:15:00,234,29.35,USD,electronics,pix,MX,mobile,1,0
149,2026-01-01 12:20:00,822,27.94,USD,electronics,card,BR,mobile,1,0
150,2026-01-01 12:25:00,59,75.55,USD,groceries,pix,PT,mobile,1,0
151,2026-01-01 12:30:00,856,5.02,USD,restaurants,card,BR,tablet,0,0
152,2026-01-01 12:35:00,282,105.83,USD,utilities,bank_transfer,BR,mobile,0,0
153,2026-01-01 12:40:00,918,75.23,USD,groceries,card,BR,mobile,1,0
154,2026-01-01 12:45:00,294,115.82,USD,electronics,pix,BR,desktop,0,0
155,2026-01-01 12:50:00,435,31.41,USD,online_services,card,CL,mobile,1,0
156,2026-01-01 12:55:00,662,91.28,USD,groceries,bank_transfer,AR,desktop,1,0
157,2026-01-01 13:00:00,127,7.6,USD,online_services,card,US,mobile,1,0
158,2026-01-01 13:05:00,558,67.56,USD,electronics,pix,BR,mobile,1,0
159,2026-01-01 13:10:00,506,15.32,USD,electronics,card,BR,mobile,1,0
160,2026-01-01 13:15:00,784,6.35,USD,entertainment,bank_transfer,BR,mobile,1,0
161,2026-01-01 13:20:00,997,10.76,USD,utilities,card,BR,desktop,0,0
162,2026-01-01 13:25:00,665,33.3,USD,electronics,pix,US,mobile,1,0
163,2026-01-01 13:30:00,410,14.52,USD,groceries,card,CO,mobile,1,0
164,2026-01-01 13:35:00,407,48.23,USD,online_services,card,MX,mobile,1,0
165,2026-01-01 13:40:00,418,5.43,USD,groceries,card,CO,mobile,1,0
166,2026-01-01 13:45:00,815,3.95,USD,utilities,pix,BR,mobile,0,0
167,2026-01-01 13:50:00,322,130.63,USD,electronics,card,BR,mobile,1,0
168,2026-01-01 13:55:00,167,81.76,USD,travel,digital_wallet,BR,mobile,1,0
169,2026-01-01 14:00:00,335,11.6,USD,utilities,card,MX,mobile,1,0
170,2026-01-01 14:05:00,23,33.02,USD,online_services,pix,BR,mobile,0,0
171,2026-01-01 14:10:00,107,91.79,USD,restaurants,card,BR,mobile,1,0
172,2026-01-01 14:15:00,91,50.36,USD,utilities,card,CL,desktop,1,0
173,2026-01-01 14:20:00,772,38.41,USD,entertainment,bank_transfer,BR,desktop,1,0
174,2026-01-01 14:25:00,723,99.0,USD,transport,bank_transfer,AR,desktop,1,0
175,2026-01-01 14:30:00,697,15.95,USD,electronics,pix,BR,desktop,0,0
176,2026-01-01 14:35:00,462,34.16,USD,utilities,bank_transfer,AR,mobile,1,0
177,2026-01-01 14:40:00,718,32.53,USD,restaurants,card,BR,tablet,1,0
178,2026-01-01 14:45:00,162,25.21,USD,travel,digital_wallet,US,mobile,1,0
179,2026-01-01 14:50:00,901,22.43,USD,entertainment,pix,CO,mobile,1,0
180,2026-01-01 14:55:00,502,35.62,USD,travel,bank_transfer,BR,desktop,0,0
181,2026-01-01 15:00:00,939,34.27,USD,electronics,pix,MX,desktop,1,0
182,2026-01-01 15:05:00,153,11.61,USD,travel,card,MX,mobile,0,0
183,2026-01-01 15:10:00,498,73.83,USD,travel,pix,CL,desktop,1,0
184,2026-01-01 15:15:00,697,12.47,USD,utilities,digital_wallet,US,mobile,1,0
185,2026-01-01 15:20:00,496,26.62,USD,utilities,card,MX,mobile,1,0
186,2026-01-01 15:25:00,447,24.65,USD,online_services,card,BR,desktop,0,0
187,2026-01-01 15:30:00,167,47.38,USD,groceries,pix,BR,mobile,1,0
188,2026-01-01 15:35:00,382,3.98,USD,transport,card,BR,desktop,0,0
189,2026-01-01 15:40:00,239,80.71,USD,online_services,card,AR,desktop,1,0
190,2026-01-01 15:45:00,302,16.83,USD,entertainment,pix,PT,mobile,1,0
191,2026-01-01 15:50:00,684,112.16,USD,electronics,digital_wallet,CL,desktop,1,0
192,2026-01-01 15:55:00,631,20.53,USD,entertainment,pix,BR,mobile,1,0
193,2026-01-01 16:00:00,608,31.54,USD,electronics,digital_wallet,US,desktop,1,0
194,2026-01-01 16:05:00,362,224.48,USD,online_services,card,CO,desktop,1,0
195,2026-01-01 16:10:00,960,25.09,USD,travel,card,BR,mobile,0,0
196,2026-01-01 16:15:00,88,114.3,USD,electronics,card,US,desktop,1,0
197,2026-01-01 16:20:00,343,34.43,USD,travel,card,BR,mobile,1,0
198,2026-01-01 16:25:00,119,50.17,USD,restaurants,pix,AR,mobile,1,0
199,2026-01-01 16:30:00,339,35.52,USD,utilities,card,AR,mobile,1,0
200,2026-01-01 16:35:00,962,77.31,USD,restaurants,card,US,mobile,1,0
201,2026-01-01 16:40:00,367,16.68,USD,groceries,pix,BR,mobile,1,0
202,2026-01-01 16:45:00,909,12.38,USD,groceries,pix,BR,mobile,1,1
203,2026-01-01 16:50:00,496,17.49,USD,groceries,pix,CL,mobile,1,0
204,2026-01-01 16:55:00,700,36.59,USD,groceries,pix,US,desktop,1,0
205,2026-01-01 17:00:00,458,26.55,USD,groceries,digital_wallet,BR,mobile,0,0
206,2026-01-01 17:05:00,266,67.38,USD,transport,pix,BR,desktop,0,0
207,2026-01-01 17:10:00,765,122.09,USD,online_services,digital_wallet,US,mobile,1,0
208,2026-01-01 17:15:00,970,12.48,USD,groceries,digital_wallet,CO,desktop,1,0
209,2026-01-01 17:20:00,264,15.9,USD,entertainment,bank_transfer,BR,desktop,1,0
210,2026-01-01 17:25:00,779,7.88,USD,utilities,card,BR,mobile,0,0
211,2026-01-01 17:30:00,262,252.24,USD,utilities,pix,AR,mobile,1,0
212,2026-01-01 17:35:00,717,44.91,USD,transport,card,CL,tablet,1,0
213,2026-01-01 17:40:00,790,53.51,USD,groceries,card,AR,tablet,1,0
214,2026-01-01 17:45:00,450,8.67,USD,transport,pix,CO,mobile,1,0
215,2026-01-01 17:50:00,737,33.08,USD,travel,card,BR,desktop,1,1
216,2026-01-01 17:55:00,273,55.11,USD,utilities,pix,MX,desktop,1,0
217,2026-01-01 18:00:00,80,25.72,USD,restaurants,bank_transfer,BR,mobile,0,0
218,2026-01-01 18:05:00,97,97.1,USD,transport,card,US,mobile,1,0
219,2026-01-01 18:10:00,448,334.23,USD,travel,digital_wallet,BR,desktop,1,1
220,2026-01-01 18:15:00,903,12.84,USD,entertainment,bank_transfer,BR,mobile,0,0
221,2026-01-01 18:20:00,128,11.92,USD,transport,bank_transfer,BR,desktop,0,0
222,2026-01-01 18:25:00,456,13.77,USD,utilities,card,BR,mobile,0,0
223,2026-01-01 18:30:00,705,165.04,USD,utilities,digital_wallet,BR,mobile,0,0
224,2026-01-01 18:35:00,203,93.91,USD,transport,card,CL,mobile,1,0
225,2026-01-01 18:40:00,722,28.92,USD,travel,bank_transfer,US,mobile,1,0
226,2026-01-01 18:45:00,306,34.35,USD,electronics,card,AR,mobile,1,0
227,2026-01-01 18:50:00,809,14.64,USD,entertainment,card,AR,mobile,1,0
228,2026-01-01 18:55:00,580,80.64,USD,transport,card,BR,mobile,1,0
229,2026-01-01 19:00:00,547,22.65,USD,transport,pix,MX,mobile,1,0
230,2026-01-01 19:05:00,177,25.53,USD,electronics,bank_transfer,BR,desktop,0,0
231,2026-01-01 19:10:00,464,60.87,USD,restaurants,pix,BR,mobile,0,0
232,2026-01-01 19:15:00,857,27.44,USD,travel,pix,BR,mobile,1,0
233,2026-01-01 19:20:00,20,26.18,USD,online_services,card,BR,mobile,1,0
234,2026-01-01 19:25:00,759,33.47,USD,transport,digital_wallet,AR,mobile,1,0
235,2026-01-01 19:30:00,493,73.36,USD,utilities,card,BR,mobile,0,0
236,2026-01-01 19:35:00,720,171.83,USD,electronics,digital_wallet,BR,mobile,0,0
237,2026-01-01 19:40:00,664,59.47,USD,restaurants,bank_transfer,MX,mobile,1,0
238,2026-01-01 19:45:00,433,73.94,USD,electronics,card,BR,mobile,0,0
239,2026-01-01 19:50:00,309,27.12,USD,electronics,card,CL,mobile,0,0
240,2026-01-01 19:55:00,628,16.32,USD,groceries,pix,BR,mobile,1,0
241,2026-01-01 20:00:00,141,63.69,USD,electronics,digital_wallet,US,desktop,1,0
242,2026-01-01 20:05:00,585,39.3,USD,restaurants,pix,CO,mobile,1,0
243,2026-01-01 20:10:00,95,7.98,USD,utilities,bank_transfer,BR,mobile,0,0
244,2026-01-01 20:15:00,650,23.85,USD,travel,digital_wallet,US,tablet,1,0
245,2026-01-01 20:20:00,629,30.48,USD,transport,card,BR,mobile,0,0
246,2026-01-01 20:25:00,85,19.88,USD,groceries,pix,BR,mobile,0,0
247,2026-01-01 20:30:00,758,145.73,USD,travel,pix,CL,desktop,1,0
248,2026-01-01 20:35:00,416,53.51,USD,entertainment,card,CO,desktop,1,0
249,2026-01-01 20:40:00,787,130.74,USD,electronics,bank_transfer,BR,mobile,0,0
250,2026-01-01 20:45:00,42,43.1,USD,online_services,card,BR,mobile,1,0
251,2026-01-01 20:50:00,180,35.92,USD,restaurants,pix,BR,mobile,0,0
252,2026-01-01 20:55:00,494,12.98,USD,utilities,pix,AR,mobile,1,0
253,2026-01-01 21:00:00,189,33.51,USD,electronics,bank_transfer,PT,mobile,1,0
254,2026-01-01 21:05:00,330,33.55,USD,transport,pix,BR,mobile,1,0
255,2026-01-01 21:10:00,661,8.44,USD,transport,pix,PT,desktop,1,0
256,2026-01-01 21:15:00,145,19.31,USD,electronics,card,BR,mobile,0,0
257,2026-01-01 21:20:00,678,23.97,USD,groceries,bank_transfer,MX,mobile,1,0
258,2026-01-01 21:25:00,104,50.07,USD,entertainment,card,US,mobile,1,0
259,2026-01-01 21:30:00,176,52.53,USD,electronics,pix,CL,mobile,1,0
260,2026-01-01 21:35:00,588,18.52,USD,entertainment,bank_transfer,BR,mobile,1,0
261,2026-01-01 21:40:00,794,52.92,USD,travel,pix,BR,mobile,1,0
262,2026-01-01 21:45:00,171,27.6,USD,online_services,card,BR,mobile,1,0
263,2026-01-01 21:50:00,300,1.88,USD,groceries,card,CL,mobile,1,0
264,2026-01-01 21:55:00,926,20.4,USD,electronics,pix,PT,desktop,1,0
265,2026-01-01 22:00:00,990,97.42,USD,travel,card,BR,desktop,0,0
266,2026-01-01 22:05:00,582,6.16,USD,restaurants,card,BR,mobile,1,0
267,2026-01-01 22:10:00,448,37.07,USD,entertainment,card,BR,mobile,1,0
268,2026-01-01 22:15:00,347,161.62,USD,transport,card,AR,mobile,1,0
269,2026-01-01 22:20:00,613,15.48,USD,utilities,pix,AR,mobile,1,0
270,2026-01-01 22:25:00,591,33.19,USD,online_services,pix,BR,mobile,0,0
271,2026-01-01 22:30:00,295,8.99,USD,utilities,pix,CO,mobile,1,0
272,2026-01-01 22:35:00,23,168.55,USD,entertainment,pix,BR,desktop,0,0
273,2026-01-01 22:40:00,152,30.47,USD,entertainment,card,CL,tablet,1,0
274,2026-01-01 22:45:00,959,34.7,USD,utilities,digital_wallet,BR,mobile,1,0
275,2026-01-01 22:50:00,419,128.29,USD,online_services,pix,BR,mobile,1,0
276,2026-01-01 22:55:00,483,64.17,USD,entertainment,bank_transfer,CL,mobile,0,0
277,2026-01-01 23:00:00,468,13.8,USD,online_services,pix,CL,mobile,1,0
278,2026-01-01 23:05:00,783,17.33,USD,online_services,card,BR,desktop,0,0
279,2026-01-01 23:10:00,65,54.32,USD,restaurants,pix,MX,mobile,1,0
280,2026-01-01 23:15:00,83,17.74,USD,travel,card,AR,desktop,0,0
281,2026-01-01 23:20:00,276,3.99,USD,transport,digital_wallet,BR,mobile,0,1
282,2026-01-01 23:25:00,487,31.4,USD,online_services,pix,PT,mobile,1,0
283,2026-01-01 23:30:00,672,7.54,USD,entertainment,card,US,mobile,1,0
284,2026-01-01 23:35:00,491,166.71,USD,online_services,card,BR,mobile,0,0
285,2026-01-01 23:40:00,442,39.52,USD,transport,pix,US,mobile,1,0
286,2026-01-01 23:45:00,938,13.39,USD,utilities,card,CO,desktop,1,0
287,2026-01-01 23:50:00,162,16.47,USD,groceries,card,BR,mobile,0,0
288,2026-01-01 23:55:00,572,5.01,USD,online_services,digital_wallet,AR,mobile,1,0
289,2026-01-02 00:00:00,543,11.03,USD,restaurants,card,BR,mobile,1,0
290,2026-01-02 00:05:00,474,91.5,USD,travel,card,AR,tablet,0,0
291,2026-01-02 00:10:00,808,308.52,USD,entertainment,card,US,tablet,1,0
292,2026-01-02 00:15:00,267,68.47,USD,entertainment,pix,BR,mobile,0,0
293,2026-01-02 00:20:00,954,30.2,USD,restaurants,pix,AR,desktop,0,0
294,2026-01-02 00:25:00,332,21.5,USD,travel,pix,BR,desktop,1,0
295,2026-01-02 00:30:00,546,12.72,USD,travel,digital_wallet,AR,desktop,1,0
296,2026-01-02 00:35:00,521,259.76,USD,utilities,card,MX,mobile,1,0
297,2026-01-02 00:40:00,850,27.42,USD,transport,card,BR,tablet,1,0
298,2026-01-02 00:45:00,439,274.69,USD,utilities,card,AR,desktop,1,0
299,2026-01-02 00:50:00,285,133.42,USD,travel,card,BR,mobile,1,1
300,2026-01-02 00:55:00,22,5.81,USD,utilities,card,CO,mobile,1,0
301,2026-01-02 01:00:00,364,17.01,USD,online_services,card,CO,mobile,0,0
302,2026-01-02 01:05:00,827,16.96,USD,electronics,bank_transfer,CL,mobile,1,0
303,2026-01-02 01:10:00,10,30.57,USD,electronics,card,BR,desktop,1,0
304,2026-01-02 01:15:00,897,31.18,USD,utilities,digital_wallet,AR,desktop,1,0
305,2026-01-02 01:20:00,543,662.64,USD,utilities,digital_wallet,CL,desktop,0,0
306,2026-01-02 01:25:00,141,11.28,USD,online_services,pix,CL,mobile,1,0
307,2026-01-02 01:30:00,303,41.64,USD,travel,bank_transfer,AR,desktop,1,0
308,2026-01-02 01:35:00,555,61.34,USD,entertainment,pix,US,desktop,1,0
309,2026-01-02 01:40:00,316,33.06,USD,groceries,card,BR,mobile,0,0
310,2026-01-02 01:45:00,109,36.97,USD,electronics,pix,BR,mobile,0,0
311,2026-01-02 01:50:00,666,11.65,USD,restaurants,card,PT,desktop,1,0
312,2026-01-02 01:55:00,673,36.84,USD,utilities,pix,BR,mobile,0,0
313,2026-01-02 02:00:00,119,55.22,USD,groceries,bank_transfer,US,mobile,1,0
314,2026-01-02 02:05:00,282,45.95,USD,utilities,pix,CL,desktop,1,0
315,2026-01-02 02:10:00,244,58.57,USD,utilities,card,US,mobile,1,0
316,2026-01-02 02:15:00,660,135.99,USD,electronics,pix,AR,mobile,1,0
317,2026-01-02 02:20:00,731,84.52,USD,entertainment,digital_wallet,MX,desktop,0,0
318,2026-01-02 02:25:00,727,35.56,USD,travel,card,CO,mobile,1,0
319,2026-01-02 02:30:00,939,10.26,USD,entertainment,card,AR,mobile,1,0
320,2026-01-02 02:35:00,769,18.17,USD,entertainment,card,BR,mobile,0,0
321,2026-01-02 02:40:00,321,26.59,USD,transport,digital_wallet,BR,mobile,0,0
322,2026-01-02 02:45:00,108,42.62,USD,entertainment,pix,BR,mobile,0,0
323,2026-01-02 02:50:00,615,20.53,USD,online_services,card,PT,mobile,1,0
324,2026-01-02 02:55:00,917,12.99,USD,transport,pix,BR,mobile,1,0
325,2026-01-02 03:00:00,976,10.09,USD,transport,pix,CO,desktop,1,0
326,2026-01-02 03:05:00,231,6.35,USD,transport,card,AR,mobile,0,0
327,2026-01-02 03:10:00,237,26.18,USD,online_services,bank_transfer,BR,mobile,0,0
328,2026-01-02 03:15:00,38,7.62,USD,online_services,pix,PT,mobile,1,0
